query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_words,submission.n_comments,min.anger,min.anticipation,min.disgust,min.fear,min.joy,min.negative,min.positive,min.sadness,min.surprise,min.trust,max.anger,max.anticipation,max.disgust,max.fear,max.joy,max.negative,max.positive,max.sadness,max.surprise,max.trust,mean.anger,mean.anticipation,mean.disgust,mean.fear,mean.joy,mean.negative,mean.positive,mean.sadness,mean.surprise,mean.trust,std.anger,std.anticipation,std.disgust,std.fear,std.joy,std.negative,std.positive,std.sadness,std.surprise,std.trust
0,34.58052434456929,136364.88764044945,-0.335959375,0.15131875,AMG1608,Ben Webster,Chelsea Bridge,4087,89983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08875128998968008,0.08565531475748193,0.043343653250773995,0.10319917440660474,0.1042311661506708,0.15892672858617132,0.19504643962848298,0.08875128998968008,0.05056759545923633,0.12487100103199174,0.2845312751711201,0.2799989095225389,0.2037346723014936,0.30437594088190917,0.30571798065715583,0.36579654367050946,0.39644106691329023,0.2845312751711201,0.21922616492307093,0.3307432914981059
1,3.6806083650190113,1794.0798479087453,-0.261853125,0.049584375,AMG1608,Leadbelly,Goodnight Irene,2775,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04475703324808184,0.12148337595907928,0.03836317135549872,0.0639386189258312,0.13043478260869565,0.12404092071611253,0.21611253196930946,0.09846547314578005,0.05370843989769821,0.1278772378516624,0.20690235295244042,0.32689725796479346,0.19219436671198117,0.24480013288878497,0.3369967005045851,0.3298391931377364,0.41185533507027355,0.298133670936697,0.22558572367304577,0.33416679538528565
2,1.5423728813559323,287.6864406779661,-0.2660375,0.11059375,AMG1608,Ray Charles,How Long Blues,1359,269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05521472392638037,0.10736196319018405,0.046012269938650305,0.0705521472392638,0.1441717791411043,0.13190184049079753,0.22699386503067484,0.08588957055214724,0.046012269938650305,0.11042944785276074,0.22875001450575935,0.3100487866739364,0.20983375068350768,0.25646892517416325,0.35180381937126476,0.3389042109228175,0.4195325383465234,0.2806316612684259,0.20983375068350765,0.313906109810417
3,1.1077586206896552,4992.586206896552,0.149390625,0.026140625,AMG1608,The Kinks,Two Sisters,2580,3694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0423841059602649,0.10860927152317881,0.039735099337748346,0.052980132450331126,0.16688741721854305,0.10066225165562914,0.2503311258278146,0.06887417218543046,0.04370860927152318,0.14966887417218544,0.20159742893814772,0.31135461657313673,0.19546566523636955,0.22414232258068914,0.37312250679929565,0.3010804347929013,0.433490883922247,0.253407920815509,0.2045815289352513,0.3569830428224696
4,1.957516339869281,9335.83660130719,0.544234375,0.53096875,AMG1608,Adam Ant,Goody Two Shoes,2761,7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.055873925501432664,0.10601719197707736,0.0329512893982808,0.05730659025787966,0.12607449856733524,0.10744985673352435,0.23065902578796563,0.07163323782234957,0.050143266475644696,0.10458452722063037,0.2298428035745585,0.30808038925958287,0.17863711821877518,0.23259417922428102,0.3321713359858268,0.3099064068114159,0.42155668482372105,0.2580645824346079,0.21839700885504992,0.3062367720632076
5,0.9951219512195122,9351.453658536586,0.5519375,0.413565625,AMG1608,Sam the Sham & the Pharaohs,Wooly Bully,1781,7051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05502846299810247,0.1157495256166983,0.036053130929791274,0.06451612903225806,0.16129032258064516,0.12144212523719165,0.25616698292220114,0.0777988614800759,0.04743833017077799,0.15370018975332067,0.22825247250254851,0.32022828993646085,0.18659950052878782,0.24590351601396215,0.3681479765839051,0.32695072356020166,0.4369298725294032,0.2681093028032632,0.21277651097586378,0.3610037881213807
6,3.413793103448276,8256.6369168357,0.483128125,0.4211,AMG1608,Elvis Presley,Viva Las Vegas,4138,11738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.052128583840139006,0.08688097306689835,0.035621198957428324,0.045178105994787145,0.11815812337098175,0.1103388357949609,0.2215464813205908,0.0686359687228497,0.046046915725456126,0.10773240660295395,0.2223829149083247,0.2817829918854612,0.18542438009286194,0.20778487723410538,0.3229355773976767,0.313447822235827,0.41546793656775605,0.2529439849846376,0.2096778345909263,0.31017692227842525
7,1.1592356687898089,6699.923566878981,-0.510665625,0.073178125,AMG1608,Frank Sinatra,April in Paris,1637,2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022573363431151242,0.11738148984198646,0.020316027088036117,0.02708803611738149,0.16478555304740405,0.0654627539503386,0.2618510158013544,0.06320541760722348,0.04740406320541761,0.1489841986455982,0.14870684183738814,0.3222382221017484,0.14123850817151495,0.16252353513238105,0.37140632402850915,0.24762025797908652,0.4401390210422026,0.24360716981085104,0.21274182233373473,0.35647546573123984
8,5.722308892355694,28191.76911076443,0.523778125,0.441253125,AMG1608,ABBA,Take a Chance on Me,6146,47855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0676132521974307,0.11020960108181203,0.05544286680189317,0.05544286680189317,0.14334009465855307,0.1257606490872211,0.2542258282623394,0.07234617985125084,0.06490872210953347,0.14266396213657878,0.25116598835807163,0.3132567535681639,0.22892004637744992,0.22892004637744992,0.3505378623169225,0.33169156735188854,0.43557242178928546,0.25914786814001184,0.24644805928476393,0.3498481247801199
9,3.7004830917874396,11646.497584541063,0.361746875,0.297725,AMG1608,John Coltrane,Cousin Mary,1668,6789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04793028322440087,0.10893246187363835,0.06100217864923747,0.05228758169934641,0.17647058823529413,0.11328976034858387,0.2875816993464052,0.06535947712418301,0.06753812636165578,0.12854030501089325,0.21385183301218325,0.31189439801955143,0.23959545142716732,0.22284924525747143,0.38163599324264413,0.31729249128513104,0.45312889826367,0.24742876742245964,0.25122545974046767,0.3350556298865668
10,1.7254237288135594,3298.830508474576,-0.32401875,-0.3600875,AMG1608,Nico,Chelsea Girls,4954,3476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06117824773413897,0.11404833836858005,0.05740181268882175,0.07175226586102719,0.12386706948640483,0.14652567975830816,0.22507552870090636,0.08610271903323263,0.05891238670694864,0.11858006042296072,0.23974753969913312,0.3179900749392935,0.23269667310624836,0.2581747882196514,0.329554316190672,0.35376606595771154,0.4177898624866588,0.28062166441911446,0.23554961995183576,0.32341587944322653
