query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_words,submission.n_comments,min.Valence,min.Arousal,min.Dominance,max.Valence,max.Arousal,max.Dominance,mean.Valence,mean.Arousal,mean.Dominance,std.Valence,std.Arousal,std.Dominance
0,34.58052434456929,136364.88764044945,-0.335959375,0.15131875,AMG1608,Ben Webster,Chelsea Bridge,4087,89983,0.0,0.112,0.12,1.0,0.965,0.974,0.6004651162790697,0.4697837209302325,0.5282038759689923,0.23776682929431248,0.183557214765391,0.1709935267073313
1,3.6806083650190113,1794.0798479087453,-0.261853125,0.049584375,AMG1608,Leadbelly,Goodnight Irene,2775,1978,0.0,0.135,0.087,1.0,0.952,0.954,0.64418281535649,0.4623382084095064,0.5266599634369287,0.22153591246012766,0.1619125651086495,0.16234722005463478
2,1.5423728813559323,287.6864406779661,-0.2660375,0.11059375,AMG1608,Ray Charles,How Long Blues,1359,269,0.02,0.073,0.131,1.0,0.931,0.938,0.6379884526558892,0.4649699769053118,0.5303602771362587,0.21930361660319025,0.16863637882495555,0.17006749611038657
3,1.1077586206896552,4992.586206896552,0.149390625,0.026140625,AMG1608,The Kinks,Two Sisters,2580,3694,0.02,0.082,0.045,1.0,0.971,0.958,0.6569147843942506,0.45042094455852155,0.5396283367556468,0.22262054121790478,0.1646648451113682,0.16330697787138693
4,1.957516339869281,9335.83660130719,0.544234375,0.53096875,AMG1608,Adam Ant,Goody Two Shoes,2761,7582,0.0,0.09,0.125,1.0,0.951,0.943,0.6359586693548387,0.4698235887096775,0.5305080645161291,0.21606358452656887,0.1750638290054765,0.17080870723026667
5,0.9951219512195122,9351.453658536586,0.5519375,0.413565625,AMG1608,Sam the Sham & the Pharaohs,Wooly Bully,1781,7051,0.0,0.069,0.102,1.0,0.971,0.973,0.6537492957746479,0.4684718309859155,0.5349338028169014,0.2211309990097672,0.18322238230483964,0.16915967489845893
6,3.413793103448276,8256.6369168357,0.483128125,0.4211,AMG1608,Elvis Presley,Viva Las Vegas,4138,11738,0.0,0.09,0.116,1.0,0.959,0.972,0.6317282208588958,0.46429325153374235,0.5183687116564417,0.21387344812308232,0.17468351426797124,0.16673589980870376
7,1.1592356687898089,6699.923566878981,-0.510665625,0.073178125,AMG1608,Frank Sinatra,April in Paris,1637,2348,0.0,0.13,0.12,1.0,0.948,0.938,0.6742791461412151,0.4509852216748768,0.5395073891625615,0.19624345675127816,0.16873081210109353,0.17306514126089223
8,5.722308892355694,28191.76911076443,0.523778125,0.441253125,AMG1608,ABBA,Take a Chance on Me,6146,47855,0.0,0.073,0.096,1.0,0.952,0.991,0.6376522565320664,0.46275961995249404,0.5285857482185273,0.21926261604859612,0.16562180962950065,0.16279722856820938
9,3.7004830917874396,11646.497584541063,0.361746875,0.297725,AMG1608,John Coltrane,Cousin Mary,1668,6789,0.0,0.069,0.045,1.0,0.948,0.981,0.6477580893682588,0.4626594761171033,0.5229137134052388,0.22514063855660799,0.17331209691944188,0.16654091166792373
10,1.7254237288135594,3298.830508474576,-0.32401875,-0.3600875,AMG1608,Nico,Chelsea Girls,4954,3476,0.0,0.102,0.102,1.0,0.969,0.991,0.6199882220975883,0.4677369601794728,0.523907459338194,0.2200449382129587,0.17004741141590593,0.16568577302242182
11,2.621761658031088,1750.4663212435232,0.575321875,-0.2081625,AMG1608,Pussy Galore,Dick Johnson,1496,1518,0.0,0.069,0.12,1.0,0.971,0.954,0.6704028520499109,0.46894474153297677,0.5256916221033868,0.2226027168820719,0.16725831864315407,0.15870260625855184
12,1.8481675392670156,21913.947643979056,0.536174194,0.011248387,AMG1608,Red Hot Chili Peppers,Give It Away,3886,18244,0.0,0.118,0.083,1.0,0.971,0.953,0.6268226415094339,0.4702603773584906,0.5253358490566037,0.2203204911539603,0.1735243985600523,0.1655122405527364
13,1.8983739837398375,629.5813008130082,0.357346667,0.444516667,AMG1608,Louis Armstrong,Heebie Jeebies,2848,741,0.02,0.073,0.087,1.0,0.959,0.981,0.6293000931966449,0.4419310344827586,0.5185125815470644,0.20578739701573975,0.16308818034326966,0.1636078940186375
14,0.4752186588921283,269018.8921282799,-0.36216,-0.211066667,AMG1608,Roberta Flack,The First Time Ever I Saw Your Face,2612,175376,0.02,0.123,0.102,1.0,0.971,0.991,0.6665532574974147,0.4683991726990693,0.536277145811789,0.21736216690513685,0.16255340233951213,0.1635811184823489
15,5.010224948875256,795.9038854805726,0.417813793,0.244262069,AMG1608,The Dead Milkmen,Punk Rock Girl,7329,877,0.0,0.073,0.087,1.0,0.962,0.981,0.6276647099447514,0.4520082872928177,0.5088459944751381,0.20884542666647343,0.16493447675931935,0.15465048599947637
16,0.7772020725388601,19351.886010362694,-0.48002,-0.02614,AMG1608,Duke Ellington,After All,2211,17458,0.0,0.09,0.114,1.0,0.943,0.963,0.656195238095238,0.4664750000000001,0.5318880952380952,0.2115052077312525,0.16778806895791057,0.16469958739880128
17,1.6234939759036144,3575.7801204819275,0.644507692,-0.107703846,AMG1608,The Prodigy,Firestarter,3785,3281,0.01,0.112,0.102,1.0,0.931,0.991,0.6588529218647406,0.45506959947472087,0.5385929087327643,0.21589675626473828,0.15667428281365953,0.16189084673684004
18,1.3647798742138364,1621.8993710691823,0.428216667,0.290823333,AMG1608,Little Jimmy Dickens,May the Bird of Paradise Fly up Your Nose,2179,138,0.0,0.135,0.116,1.0,0.945,0.943,0.6595732165206508,0.44560951188986236,0.5196783479349186,0.19582506984165265,0.16766310716253452,0.1713890192195717
19,0.5422077922077922,52858.38961038961,0.51092069,0.358775862,AMG1608,MC5,High School,2120,69312,0.021,0.091,0.096,1.0,0.939,0.991,0.6750895170789164,0.4674782096584217,0.544474676089517,0.20767024499549327,0.17020912444944747,0.16381431369003063
20,4.167958656330749,3398.217054263566,0.415489655,0.354517241,AMG1608,The Allman Brothers Band,Ramblin'' Man,4951,2858,0.0,0.112,0.102,1.0,0.971,0.963,0.6530680894308942,0.4474354674796748,0.5209659552845528,0.20879081617536366,0.16025679349055022,0.15955223428291146
21,1.6350877192982456,9595.042105263157,-0.220451724,-0.213693103,AMG1608,Bobby Bare,500 Miles Away from Home,3421,6797,0.0,0.09,0.148,1.0,0.945,0.991,0.6383193597560975,0.4641547256097561,0.5457629573170732,0.2214284414480719,0.16492344244932955,0.15924991819543327
22,0.8733333333333333,236978.25,0.453658621,-0.142351724,AMG1608,Kevin Ayers,Stranger in Blue Suede Shoes,3412,133809,0.01,0.069,0.102,1.0,0.931,0.938,0.6359965635738832,0.4600876288659793,0.5150859106529209,0.23042021873586152,0.16595807223055753,0.16712767273274973
23,2.564814814814815,38335.41203703704,-0.204753333,-0.05573,AMG1608,The American Analog Set,Magnificent Seventies,1781,18613,0.0,0.09,0.087,1.0,0.945,0.953,0.6354445927903871,0.45326568758344454,0.5175687583444594,0.21628493334916174,0.1578987445812519,0.15604985880935232
24,1.7391304347826086,2848.8542199488493,-0.096996296,0.195296296,AMG1608,James Taylor,Carolina in My Mind,4667,3534,0.0,0.073,0.045,1.0,0.958,0.972,0.663773162939297,0.4477108626198083,0.5263402555910544,0.2066739385391647,0.1644248755211486,0.15948285427604017
25,2.453191489361702,22975.70425531915,0.209333333,-0.080992593,AMG1608,Soft Cell,Tainted Love,6495,8654,0.0,0.09,0.081,1.0,0.959,0.991,0.6499519145146927,0.4576237756010685,0.5366629563668744,0.20228469519336678,0.16101599346530213,0.15269245311213975
26,1.645631067961165,3030.9126213592235,0.232566667,-0.247937037,AMG1608,Adam Ant,Desperate But Not Serious,2832,1608,0.0,0.135,0.102,1.0,0.945,0.981,0.6651766953199618,0.46935530085959887,0.5364899713467048,0.20325900249434461,0.16516068955089055,0.16301147082976494
27,2.658008658008658,21029.822510822512,-0.200874074,0.087755556,AMG1608,Neil Young,Harvest Moon,5232,24817,0.0,0.069,0.102,1.0,0.971,0.981,0.663517894736842,0.4540973684210527,0.5242926315789473,0.21267070322522125,0.16519976097196182,0.15828572044871406
28,3.0596330275229358,3532.419724770642,-0.47532963,-0.348396296,AMG1608,Tori Amos,Me and a Gun,7590,7465,0.0,0.082,0.087,1.0,0.971,0.991,0.6184754729079833,0.4659823661429945,0.5296149406861174,0.2294688584170392,0.17727088315206868,0.16058775598194353
29,3.807531380753138,18393.648535564855,0.201381481,0.197659259,AMG1608,Sylvia,Nobody,14644,18607,0.0,0.069,0.081,1.0,0.96,0.991,0.6320781758957654,0.46238151465798044,0.5293422231270358,0.22520761252599145,0.17269160476599504,0.16827973973390892
30,5.687392055267703,3691.3678756476684,0.335448148,0.263133333,AMG1608,Cocteau Twins,Heaven or Las Vegas,7299,8727,0.0,0.073,0.081,1.0,0.971,0.954,0.6461012101210121,0.45231316464979837,0.5311705170517051,0.2061942559596608,0.16204828243181385,0.1654192606934067
31,1.1223958333333333,22585.278645833332,0.175744444,0.239377778,AMG1608,P.M. Dawn,Set Adrift on Memory Bliss,4240,25452,0.0,0.073,0.087,1.0,0.943,0.981,0.6371765140324964,0.4531100443131462,0.5266573116691285,0.21298724377575892,0.1567315144762068,0.15930239410052818
32,5.04320987654321,1776.8641975308642,-0.280896296,0.194459259,AMG1608,Lefty Frizzell,Look What Thoughts Will Do,1865,1209,0.012,0.13,0.136,1.0,0.94,0.963,0.6358488023952095,0.4582080838323353,0.5270389221556886,0.21135878577764441,0.16420593570227915,0.1625712759750315
33,1.7335907335907337,941.1930501930502,-0.455003704,0.03887037,AMG1608,Mojave 3,Love Songs on the Radio,2988,649,0.0,0.069,0.045,1.0,0.94,0.958,0.6581509009009009,0.44903828828828835,0.5395641891891892,0.2050026253833572,0.15917517346983612,0.16172012353251963
34,3.3479125248508947,5261.117296222664,0.068237037,0.109311111,AMG1608,Bob Dylan,Forever Young,6476,7220,0.0,0.073,0.081,1.0,0.952,0.991,0.6517919566898686,0.4551527455529775,0.5379439288476412,0.21228400384228457,0.1634453737473847,0.16239327680636376
35,8.763033175355451,38112.950236966826,0.561237037,-0.01162963,AMG1608,Kiss,Rock and Roll All Nite,4901,33956,0.0,0.073,0.081,1.0,0.939,0.991,0.6536268486916951,0.4529397042093288,0.5220819112627987,0.2090217630919521,0.16507475343715358,0.158890296960783
36,1.2809364548494984,7055.05016722408,0.271556,0.097856,AMG1608,The Who,I Can See for Miles,3468,5286,0.012,0.118,0.102,1.0,0.94,0.96,0.6454544728434504,0.4662587859424921,0.5423386581469649,0.21249490595286494,0.16409150162625408,0.16184750302605208
37,4.39344262295082,7532.7819672131145,0.605448148,0.071766667,AMG1608,Judas Priest,Living After Midnight,12423,4355,0.0,0.073,0.096,1.0,0.971,0.991,0.6503266362883181,0.45963256006628,0.5432970173985088,0.19516120935565145,0.1599088914528651,0.1577635624471515
38,3.9444444444444446,5583.747126436781,0.540433333,-0.019325926,AMG1608,Public Enemy,Bring the Noise,5487,10943,0.0,0.073,0.045,1.0,0.971,0.991,0.6228357298474945,0.46786013071895427,0.5227564270152506,0.2174425407573614,0.17302519596943647,0.160840708728973
39,12.251521298174442,17149.898580121702,-0.214459259,0.347488889,AMG1608,The Rolling Stones,You Can''t Always Get What You Want,4772,15459,0.0,0.073,0.113,1.0,0.959,0.943,0.6204657824933687,0.4731167108753316,0.5268392572944297,0.21987840087035632,0.17576986003346048,0.1640313591383198
40,2.9978070175438596,3373.1622807017543,-0.197988889,0.124544444,AMG1608,Big Star,Thirteen,5208,4770,0.0,0.073,0.12,1.0,0.948,0.991,0.6338426323319026,0.4604806866952789,0.5309904625655698,0.21724229717441568,0.16779998411727348,0.16778729180326302
41,0.9657142857142857,7444.6,0.3764,-0.371513333,AMG1608,Public Enemy,Black Steel in the Hour of Chaos,2189,4402,0.0,0.102,0.121,1.0,0.941,0.971,0.6088404522613066,0.4631030150753769,0.5387298994974874,0.21903819125778212,0.17283236344080094,0.16806858037321887
42,1.2008830022075054,7524.931567328918,0.164881481,-0.073181481,AMG1608,Morrissey,Everyday Is Like Sunday,4823,6828,0.0,0.112,0.087,1.0,0.951,0.991,0.626768115942029,0.4619361001317523,0.5347938076416338,0.2227805178074956,0.17297385462774714,0.16743233752131706
43,2.1937321937321936,2261.4558404558406,0.367981481,0.157955556,AMG1608,Urge Overkill,Sister Havana,3675,1976,0.0,0.112,0.102,1.0,0.971,0.991,0.6163676075268818,0.4668420698924732,0.5203198924731183,0.22863560680372805,0.16844561718601056,0.1665632024922289
44,22.706422018348626,31871.38532110092,0.476725926,-0.085274074,AMG1608,The Clash,London Calling,6603,37706,0.0,0.082,0.096,1.0,0.945,0.991,0.622601096892139,0.4621206581352834,0.5316288848263254,0.21628323247166908,0.1744014554415682,0.16583658405449245
45,2053.550151975684,1079510.6170212766,-0.482544444,-0.298092593,AMG1608,The Jesus and Mary Chain,Taste of Cindy,3348,2109118,0.012,0.09,0.113,1.0,0.951,0.938,0.6428566878980893,0.46697133757961784,0.5253545647558386,0.21640852080647713,0.16819349032336806,0.1679128093900202
46,5.384615384615385,2273.177718832891,-0.3876,-0.222707407,AMG1608,Red House Painters,Down Colorful Hill,5210,2965,0.0,0.073,0.081,1.0,0.959,0.981,0.6191310147689376,0.45357837065269174,0.5164197236779419,0.22314840822402557,0.16830040872709195,0.16527599072267324
47,1.64321608040201,25210.27638190955,-0.206774074,0.0803,AMG1608,The Carpenters,Rainy Days and Mondays,2339,19408,0.0,0.09,0.106,1.0,0.951,0.991,0.6587102272727272,0.45533977272727266,0.5327522727272728,0.22573185515115587,0.16098285795426986,0.15944270120136395
48,16.925,11184.56875,0.593237037,0.393033333,AMG1608,T. Rex,20th Century Boy,3806,9958,0.0,0.073,0.106,1.0,0.971,0.981,0.6531465581051072,0.4613138415988157,0.5360503330866024,0.21316923372877933,0.16240426223918328,0.1659119458055992
49,2.09717868338558,4125.818181818182,-0.396103704,0.260225926,AMG1608,The Beach Boys,Surfer Girl,3391,5046,0.0,0.073,0.12,1.0,0.955,0.96,0.6645419254658386,0.4595613354037267,0.5321490683229813,0.21007611699302287,0.16721635031406687,0.1674013907487537
50,1.588235294117647,35.64705882352941,-0.013066667,0.091477778,AMG1608,The Lemonheads,It''s a Shame About Ray,153,11,0.1,0.156,0.209,0.98,0.929,0.953,0.6247083333333333,0.44368055555555563,0.532,0.21718904840364045,0.18622565642130562,0.17955563302807484
51,1.5088339222614842,45775.452296819785,-0.201240741,0.222014815,AMG1608,Frank Sinatra,The House I Live In,3210,40008,0.0,0.127,0.045,1.0,0.971,0.991,0.6259636087945413,0.46072630780894613,0.532112206216831,0.22697692664687819,0.166060198504652,0.16852060791178008
52,1.8054545454545454,22183.55818181818,0.471174074,0.425137037,AMG1608,The Who,Won''t Get Fooled Again,5839,44429,0.0,0.1,0.087,1.0,0.959,0.991,0.6217565603552684,0.47188009689140087,0.532232943076302,0.21988789569785838,0.17663911736141574,0.17391439944044948
53,0.5918367346938775,16049.423469387755,0.394003704,0.307733333,AMG1608,Brinsley Schwarz,Nervous on the Road (But Can''t Stay at Home),2249,8252,0.0,0.073,0.127,1.0,0.931,0.991,0.675921974522293,0.45922452229299365,0.5294140127388535,0.2220404836025527,0.16100566793571877,0.16025896286364336
54,2.011627906976744,524.6627906976744,0.012548,0.46254,AMG1608,The Andrews Sisters,Ac-Cent-Tchu-Ate the Positive,1064,467,0.0,0.073,0.102,1.0,0.96,0.92,0.6287252747252746,0.4583956043956044,0.5253406593406593,0.2326411803797089,0.17610350256877083,0.16523578410191128
55,1.5045871559633028,3528.847094801223,-0.1259,0.022355556,AMG1608,Rod Stewart,Reason to Believe,4419,2242,0.0,0.09,0.081,1.0,0.948,0.966,0.6175685975609756,0.45077591463414646,0.5153437500000001,0.2232450156546842,0.16706770237508425,0.16346901065261646
56,3.3034825870646767,1148.5273631840796,-0.289740741,0.207462963,AMG1608,Barry Manilow,Looks Like We Made It,2322,1318,0.02,0.09,0.045,1.0,0.941,0.991,0.6699936373276776,0.4601495227995759,0.543557794273595,0.21597781389613732,0.16671672682573738,0.16346958202219045
57,12.575609756097561,167135.40609756098,0.6609,0.529981481,AMG1608,Aqua,Barbie Girl,7840,383970,0.0,0.073,0.113,1.0,0.959,0.991,0.6315761933904529,0.45898837209302323,0.5177567319461445,0.2119519209215192,0.1683621815265913,0.15914197699065763
58,1.375,124485.4695945946,0.521985185,0.164840741,AMG1608,The Jam,''A'' Bomb in Wardour Street,2815,119324,0.0,0.127,0.102,1.0,0.959,0.991,0.6002417677642982,0.4830571923743501,0.526392547660312,0.22768486679217348,0.18404386007972962,0.1720878050348886
59,1.616393442622951,14544.577049180329,-0.486177778,-0.079907407,AMG1608,The Everly Brothers,Love Hurts,6908,13038,0.0,0.09,0.102,1.0,0.948,0.981,0.6149107358262967,0.4567913148371532,0.521826296743064,0.22878948427848816,0.1683457907029311,0.16672601553676755
60,2.0512249443207127,6709.512249443207,0.094077419,0.259216129,AMG1608,Stevie Wonder,My Cherie Amour,4574,4974,0.01,0.073,0.13,1.0,0.959,0.991,0.6684615816040382,0.44917610768367916,0.5391346045989905,0.20468813309147543,0.16016638497714908,0.16106491099147416
61,1.3103448275862069,10437.73354231975,-0.187719355,-0.107296774,AMG1608,Boy George,The Crying Game,3020,8690,0.0,0.112,0.102,1.0,0.952,0.953,0.629193260654113,0.4707324083250744,0.5197978196233894,0.22611260476563713,0.16713101905393776,0.16062435459447622
62,2.076923076923077,1268.446153846154,0.249133333,0.412993333,AMG1608,Asleep at the Wheel,Choo Choo Ch''Boogie,989,311,0.0,0.1,0.209,1.0,0.941,0.991,0.6481950000000001,0.46724499999999997,0.5275325,0.20014395063914275,0.17274718216911217,0.15759730715276993
63,1.4444444444444444,2342.3194444444443,-0.228276667,-0.32519,AMG1608,The Flying Burrito Brothers,Wild Horses,5128,3796,0.0,0.069,0.102,1.0,0.959,0.991,0.647520748100526,0.4556931618936294,0.5386405610753945,0.2104918203650907,0.16345832652015163,0.15934617496709505
64,1.7218934911242603,28761.587771203154,0.032836667,-0.18729,AMG1608,Jeff Buckley,Last Goodbye,6901,39197,0.0,0.09,0.081,1.0,0.971,0.981,0.6362729698818147,0.46504841784216544,0.5334639725505146,0.23163743776801324,0.1693360557902324,0.17267961093915635
65,1.7309941520467835,16570.502923976608,-0.46997,-0.289746667,AMG1608,Willie Nelson,Blue Eyes Crying in the Rain,4341,6636,0.0,0.082,0.087,1.0,0.971,0.991,0.6496461077844312,0.44228742514970054,0.5227982035928144,0.21515755906894382,0.1582385667274478,0.160629466913357
66,1.8296296296296297,275.0,-0.15528,-0.056813333,AMG1608,Five for Fighting,Superman (It''s Not Easy),1484,369,0.022,0.073,0.102,1.0,0.946,0.938,0.6659413919413919,0.4555750915750916,0.5382197802197802,0.2201942100437124,0.16284839249456837,0.16192500034418827
67,59.330275229357795,20363.13149847095,-0.328996667,0.2584,AMG1608,John Denver,Sunshine on My Shoulders,4101,17618,0.0,0.09,0.081,1.0,0.971,0.981,0.6597062182741116,0.4541256345177665,0.5328718274111676,0.21950285094733266,0.16732906677232953,0.16514045606096506
68,1.6120481927710844,40060.75421686747,0.173276667,0.17253,AMG1608,The Beach Boys,Don''t Worry Baby,3866,52308,0.0,0.09,0.087,1.0,0.948,0.991,0.6710284203569068,0.46658228684732317,0.5320561797752809,0.21866604629026135,0.16684859119707726,0.16234265932746275
69,3.5711500974658867,32079.586744639375,-0.487003333,-0.111896667,AMG1608,Lou Reed,Perfect Day,5475,21333,0.0,0.071,0.081,1.0,0.971,0.991,0.6429845505617977,0.46160159176029963,0.5249536516853932,0.2309439001296737,0.16916494445677066,0.1664902672592166
70,1.4259259259259258,34942.72222222222,0.243116667,0.20867,AMG1608,The Shirelles,Will You Love Me Tomorrow,3142,25739,0.02,0.09,0.12,1.0,0.948,0.952,0.6669631751227496,0.46647463175122744,0.535975450081833,0.2046552550451431,0.1633957995684493,0.15770108586956844
71,1.2015915119363396,22854.846153846152,0.46448,-0.399116667,AMG1608,Quiet Riot,Bang Your Head (Metal Health),4908,22686,0.0,0.082,0.118,1.0,0.971,0.981,0.6263231552162849,0.4615209923664122,0.5244115776081425,0.22056272259915133,0.16892097803982167,0.1560334079141004
72,2.597101449275362,1672.3855072463768,0.32142069,0.214558621,AMG1608,Ornette Coleman,Free Jazz,4692,3348,0.0,0.089,0.087,1.0,0.965,0.966,0.6446032482598607,0.44980104408352667,0.5261595127610209,0.20258964557255923,0.16673401750459174,0.15724934846836877
73,20.933734939759034,21803.789156626506,0.218544828,0.079113793,AMG1608,Archie Shepp,Hambone,1560,6337,0.02,0.16,0.149,1.0,0.945,0.953,0.6558892794376098,0.45609666080843586,0.5429297012302284,0.19963047740289214,0.15659625400053215,0.16100280587644003
74,2.3391812865497075,11454.944444444445,-0.306210345,-0.318451724,AMG1608,The Beach Boys,Caroline No,5997,11723,0.0,0.09,0.087,1.0,0.948,0.991,0.6423470761464031,0.4522633571729071,0.5318035338662179,0.21368530255460533,0.16005057483828264,0.16377221396902042
75,2.0807291666666665,38203.098958333336,0.607996552,0.251793103,AMG1608,The Bangles,Walk Like an Egyptian,3611,46650,0.0,0.082,0.045,1.0,0.962,0.991,0.6264169825625473,0.45675208491281266,0.5194874905231236,0.21414419195154138,0.1682094175201353,0.1631353589170002
76,2.923076923076923,129.73626373626374,-0.032544828,0.05487931,AMG1608,Loretta Lynn,Coal Miner''s Daughter,1013,136,0.041,0.09,0.087,1.0,0.94,0.943,0.6910299251870324,0.43490523690773064,0.5514114713216958,0.1829946832622314,0.1543165933965179,0.1684641735446436
77,0.9969135802469136,11990.456790123457,0.405593103,0.012624138,AMG1608,The Small Faces,Lazy Sunday,3193,10850,0.0,0.123,0.096,1.0,0.951,0.973,0.6573541167066346,0.4489240607513989,0.5159176658673061,0.21144511179272782,0.16844854356335975,0.16174320516073457
78,1.411764705882353,78.6470588235294,0.417424,0.003276,AMG1608,David Bowie,Fashion,195,17,0.0,0.112,0.213,0.98,0.844,0.905,0.6913258426966292,0.46333707865168544,0.5562134831460674,0.20111393058305504,0.16370080411727206,0.16542744028110057
79,5.973118279569892,11317.424731182795,0.575058621,0.513182759,AMG1608,Bobby Darin,Splish Splash,3562,8716,0.0,0.09,0.106,1.0,0.935,0.972,0.6221930333817127,0.4624361393323657,0.5052068214804063,0.21884817088038677,0.17998073180229057,0.16015360286664743
80,1.9875,2332.3425,0.087044828,-0.030613793,AMG1608,Bruce Springsteen,Darkness on the Edge of Town,4742,2470,0.0,0.069,0.087,1.0,0.948,0.955,0.6353143025309006,0.45440376692171863,0.522490288404944,0.2186625614072041,0.16294882570103084,0.1596090567453691
81,1.300751879699248,12712.774436090225,0.224351724,-0.117262069,AMG1608,Gene,For the Dead,2574,8743,0.012,0.09,0.113,1.0,0.96,0.938,0.6196192842942346,0.45934095427435384,0.5185695825049702,0.22283498833386986,0.16961831325574864,0.16849911238594228
82,2.2549019607843137,651.9950980392157,-0.396989655,-0.28627931,AMG1608,Little Feat,Sailin'' Shoes,1907,464,0.0,0.073,0.12,1.0,0.971,0.922,0.6482864792503347,0.457239625167336,0.5379116465863454,0.20875797874797242,0.17324486423955576,0.16458745309628592
