query_index,score,submission.score,arousal,valence,dataset,artist_name,song_name,n_words,submission.n_comments,min.Sentiment,max.Sentiment,mean.Sentiment,std.Sentiment
0,34.58052434456929,136364.88764044945,-0.335959375,0.15131875,AMG1608,Ben Webster,Chelsea Bridge,4087,89983,-1.0,1.0,0.22113502935420742,0.8425122814988638
1,3.6806083650190113,1794.0798479087453,-0.261853125,0.049584375,AMG1608,Leadbelly,Goodnight Irene,2775,1978,-1.0,1.0,0.2966292134831461,0.7839104790948648
2,1.5423728813559323,287.6864406779661,-0.2660375,0.11059375,AMG1608,Ray Charles,How Long Blues,1359,269,-1.0,1.0,0.26627218934911245,0.841688182702202
3,1.1077586206896552,4992.586206896552,0.149390625,0.026140625,AMG1608,The Kinks,Two Sisters,2580,3694,-1.0,1.0,0.32908163265306123,0.8225536765851963
4,1.957516339869281,9335.83660130719,0.544234375,0.53096875,AMG1608,Adam Ant,Goody Two Shoes,2761,7582,-1.0,1.0,0.3544600938967136,0.7753200869494388
5,0.9951219512195122,9351.453658536586,0.5519375,0.413565625,AMG1608,Sam the Sham & the Pharaohs,Wooly Bully,1781,7051,-1.0,1.0,0.3076923076923077,0.8001696652664794
6,3.413793103448276,8256.6369168357,0.483128125,0.4211,AMG1608,Elvis Presley,Viva Las Vegas,4138,11738,-1.0,1.0,0.2785714285714286,0.8153380960764374
7,1.1592356687898089,6699.923566878981,-0.510665625,0.073178125,AMG1608,Frank Sinatra,April in Paris,1637,2348,-1.0,1.0,0.5152671755725191,0.720363178140266
8,5.722308892355694,28191.76911076443,0.523778125,0.441253125,AMG1608,ABBA,Take a Chance on Me,6146,47855,-1.0,1.0,0.3229946524064171,0.7964425823053876
9,3.7004830917874396,11646.497584541063,0.361746875,0.297725,AMG1608,John Coltrane,Cousin Mary,1668,6789,-1.0,1.0,0.4068441064638783,0.7898876154682357
10,1.7254237288135594,3298.830508474576,-0.32401875,-0.3600875,AMG1608,Nico,Chelsea Girls,4954,3476,-1.0,1.0,0.2266500622665006,0.8331876180172914
11,2.621761658031088,1750.4663212435232,0.575321875,-0.2081625,AMG1608,Pussy Galore,Dick Johnson,1496,1518,-1.0,1.0,0.35944700460829493,0.7875275822346403
12,1.8481675392670156,21913.947643979056,0.536174194,0.011248387,AMG1608,Red Hot Chili Peppers,Give It Away,3886,18244,-1.0,1.0,0.3126142595978062,0.7885895992593536
13,1.8983739837398375,629.5813008130082,0.357346667,0.444516667,AMG1608,Louis Armstrong,Heebie Jeebies,2848,741,-1.0,1.0,0.2720763723150358,0.7871322997509442
14,0.4752186588921283,269018.8921282799,-0.36216,-0.211066667,AMG1608,Roberta Flack,The First Time Ever I Saw Your Face,2612,175376,-1.0,1.0,0.38954869358669836,0.7929961482098575
15,5.010224948875256,795.9038854805726,0.417813793,0.244262069,AMG1608,The Dead Milkmen,Punk Rock Girl,7329,877,-1.0,1.0,0.21820062047569805,0.8132951080601959
