song_id,artist_name,song_name,Genre,valence,arousal
1,2 Chainz,Good Drank,,0.575,0.4
4,21 Savage,X Bitch (feat. Future),,0.2875,0.2625
5,21 Savage,No Heart,,0.2,0.15
6,21 Savage,Red Opps,,0.35,0.5125
7,5 Seconds Of Summer,Girls Talk Boys,,0.725,0.7
8,6LACK,PRBLMS,,0.225,0.3875
9,A Boogie Wit Da Hoodie,Timeless,,0.2875,0.45
10,A Boogie Wit Da Hoodie,Drowning,,0.425,0.4375
12,A Tribe Called Quest,We The People....,,0.575,0.6875
13,AJR,Weak,,0.5875,0.825
14,Adam Wakefield,I’m Sorry,,0.575,0.5625
15,Adam Wakefield,Lonesome Broken and Blue (The Voice Performance),,0.6625,0.6125
16,Adam Wakefield,When I Call Your Name (The Voice Performance),,0.575,0.5375
17,Adele,Hello,,0.675,0.825
18,Adele,Send My Love (To Your New Lover),,0.8375,0.8
19,Adele,Water Under The Bridge,,0.75,0.7625
20,Al Jarreau,We're In This Love Together,,0.6375,0.55
21,Alan Walker,Faded,,0.775,0.8625
23,Alessia Cara,How Far I'll Go(Alessia Cara Version),,0.675,0.625
25,Alessia Cara,Scars To Your Beautiful,,0.784090909,0.761363636
26,Alessia Cara,Wild Things(NuKid Remix),,0.7625,0.825
28,Alex Da Kid,Not Easy,,0.575,0.4875
29,Alisan Porter,Down That Road (The Voice Performance),,0.675,0.7
30,Alisan Porter,Somewhere (The Voice Performance),,0.5375,0.6125
31,Amine,Caroline,,0.4375,0.625
32,Andra Day,Rise Up,,0.3875,0.575
33,Andy Grammer,Fresh Eyes,,0.75,0.6375
34,Andy Williams,It's the Most Wonderful Time of the Year,,0.8375,0.6875
35,Anna Kendrick,True Colors,,0.625,0.3375
37,Anne-Marie,Alarm,,0.75,0.8
38,Anne-Marie,Ciao Adios,,0.8375,0.8875
39,Ansel Elgort,Thief,,0.590909091,0.875
40,Ariana Grande,Beauty and the Beast,,0.6625,0.375
42,Ariana Grande,Dangerous Woman,,0.6,0.7625
43,Ariana Grande,One Last Time,,0.7875,0.8625
44,Artists Of Then,Forever Country,,0.675,0.6875
46,Ayo & Teo,Rolex,,0.575,0.8375
47,Baby Bash,Suga Suga,,0.4625,0.4
48,Band Aid 20,Do They Know It's Christmas?,,0.8375,0.725
49,Bastille,Good Grief,,0.7125,0.7875
50,Beastie Boys,Fight For Your Right,,0.5875,0.8375
51,Bebe Rexha,I Got You,,0.7625,0.825
52,Belly,Might Not,,0.4625,0.5875
54,Ben Rector,Brand New,,0.775,0.875
55,Big Sean,No Favors,,0.4,0.625
56,Big Sean,Blessings,,0.275,0.4125
57,Big Sean,Bounce Back,,0.3625,0.525
58,Big Sean,Halfway Off the Balcony,,0.25,0.2625
59,Big Sean,Jump Out the Window,,0.6,0.6
60,Big Sean,Light,,0.409090909,0.420454545
61,Big Sean,Moves,,0.275,0.375
63,Big Sean,Owe Me,,0.4625,0.375
65,Billboard Masters,Sweatshirt - Tribute to Jacob Sartorius,,0.75,0.5875
66,Billy Currington,It Don't Hurt Like It Used To,,0.7625,0.8625
